object,words
bottle_blue,"cylindrical, bottle, water bottle, empty, plastic, container, blue, hard, light"
cup_yellow,"cup, yellow, plastic, empty"
egg_plastic_wrap,"egg, plastic, small, yellow"
medicine_bilberry_extract,"medicine, container, full, closed, plastic, pills, hard, green, short, small"
metal_food_can,"metal, cylinder, short, empty, container, shiny, closed"
noodle,"pink, foam, soft, deformable, light, short, toy"
pvc,"pvc, plastic, cylindrical, round, short, hard, green, pipe"
weight,"blue, tall, cylindrical, full, closed, container, plastic"
